text,violence,sexual,profanity,alcohol_drugs,scary,sev_violence,sev_sexual,sev_profanity,sev_alcohol_drugs,sev_scary,sev_violence_num,sev_sexual_num,sev_profanity_num,sev_alcohol_drugs_num,sev_scary_num
"носит бинокль к глазам, чтобы рассмотреть странную фигуру. Наводит резкость и видит ужасное (1-1-А): у мальчика перерезано горло; лицо, руки и почему-то длинные седые волосы взрослого - тоже в крови. [ep: v=Severe, sc=Severe]

Увиденное парализует Игоря. Какое-то время он стоит в оцепенении, потом срывается с места и бежит, не разбирая дороги. Спотыкается, начинается дождь, мальчик оступается, пад",1,0,0,0,1,Severe,None,None,None,Severe,1.0,0.0,0.0,0.0,1.0
".ОПУШКА НОЧЬ 1. 
ПАНОВ, Труп Андрея Панова(00:05)

Через бинокль. Мужчина с телом мальчика на руках. У мальчика перерезано горло; лицо, руки и почему-то длинные седые волосы взрослого - тоже в крови. [ep: v=Severe, sc=Severe]

[Labels: v=Severe, sc=Severe, p=None, s=None, a=None]

1-2. ИНТ. ДАЧА МАЛЬЦЕВЫХ НОЧЬ 1. 
ИГОРЬ, МАЛЬЦЕВА, МАЛЬЦЕВ, собака Лесси (03:05)

Игорь влетает в дом, весь мокрый и г",1,0,0,0,1,Severe,None,None,None,Severe,1.0,0.0,0.0,0.0,1.0
", Мальцева неспешно накрывает на стол.

МАЛЬЦЕВА
Отправили бы тебя в Корею корреспондентом. Были бы у нас корейские ужины. Что, интересно, они едят? Рис?

МАЛЬЦЕВ
И собак. Можем прям щас приготовить. [ep: v=Mild]

Гладит подошедшую колли, обращается к ней.

МАЛЬЦЕВ
Да, ужин?

В сюжете по телевизору льёт дождь, ветер срывает шляпы, хроника из телевизора переходит в полный растр.

ДИКТОР (ЗК)
Во вну",1,0,0,0,0,Mild,None,None,None,None,0.33,0.0,0.0,0.0,0.0
"между прочим, руку жал, когда корпункт открывали.

Игорь все это время как будто собирался с силами, стоял “соляным столбом” и наконец “отмер”.

ИГОРЬ
Я видел мёртвого мальчика, он весь в крови был. [ep: v=Severe, sc=Severe]

Мальцев оборачивается к нему от телевизора.

МАЛЬЦЕВ
(шутливо)
А я вот Ким Ир Сена сейчас вижу и чего? Мальчик на комете прилетел?

МАЛЬЦЕВА
Переоденься, пожалуйста, мой рук",1,0,0,0,1,Severe,None,None,None,Severe,1.0,0.0,0.0,0.0,1.0
"а для портвейна.

Берёт бутылку, идёт к столу. На столе классический рыбный паштет в банке, батон, большая супница, Мальцева разливает фасолевый суп красно-бурого цвета. Выглядит он довольно кроваво. [ep: a=Mild]

ИГОРЬ
Мы в поле были и там из леса вышел человек весь в крови и мальчика нёс, он тоже был весь в крови. Я в бинокль видел. [ep: v=Severe, sc=Severe]

Мальцева замирает за столом. Пристал",0,0,0,1,0,None,None,None,Mild,None,0.0,0.0,0.0,0.33,0.0
"солевый суп красно-бурого цвета. Выглядит он довольно кроваво. [ep: a=Mild]

ИГОРЬ
Мы в поле были и там из леса вышел человек весь в крови и мальчика нёс, он тоже был весь в крови. Я в бинокль видел. [ep: v=Severe, sc=Severe]

Мальцева замирает за столом. Пристально смотрит на Игоря. Мальцев наливает себе портвейн.

МАЛЬЦЕВ
Хватит маму пугать. Братьев Гримм перечитал, что ли?

Подмигивает Игорю.",1,0,0,0,1,Severe,None,None,None,Severe,1.0,0.0,0.0,0.0,1.0
"ьев Гримм перечитал, что ли?

Подмигивает Игорю.

МАЛЬЦЕВА
Да ну вас. И так уже мигрень третий день. Ну какая кровь? Какой мёртвый мальчик? В школе ещё начни эту чушь рассказывать. Чтоб тебя выгнали. [ep: v=Severe, sc=Severe]

Игорь даже не пытается больше оправдываться. Так и не поев, встаёт, убегает.

МАЛЬЦЕВ
Что-то он со своей кометой вообще уже… И мальчики кровавые в глазах…

МАЛЬЦЕВА
Да прост",1,0,0,0,1,Severe,None,None,None,Severe,1.0,0.0,0.0,0.0,1.0
"тельно слушают.
СОТРУДНИК 1
Извините, что в такой момент. Убийство, Алексан Михалыч.
ГЕНПРОКУРОР
(усмехнувшись)
Уверен, что и не одно.
СОТРУДНИК 1
Ребёнок, Алексан Михалыч. На Рублёвке, возле дач ЦК. [ep: v=Severe, sc=Severe]
ГЕНПРОКУРОР
(становится максимально серьёзным)
Чей?
СОТРУДНИК 1
Ничей, но перерезано горло, половые органы, изуродованы. Страшное дело в общем. До дачи Громыко меньше километ",1,0,0,0,1,Severe,None,None,None,Severe,1.0,0.0,0.0,0.0,1.0
"овится максимально серьёзным)
Чей?
СОТРУДНИК 1
Ничей, но перерезано горло, половые органы, изуродованы. Страшное дело в общем. До дачи Громыко меньше километра, а у него внук. Никогда такого не было. [ep: v=Severe, sc=Severe]
СОТРУДНИК 2
В Ростове такая же серия. Может, теперь к нам приехал с гастролями?
ГЕНПРОКУРОР
Ростов - моя колыбель. Следаки там хорошие. Кто там делом занимается? Сюда его сро",1,0,0,0,1,Severe,None,None,None,Severe,1.0,0.0,0.0,0.0,1.0
"ает на это внимания, сосредоточившись на процессе. Периодически отхлёбывает пиво из бутылки (выглядит при этом как Брэд Пит, а не как алкоголик). Когда миксер выключается, мы слышим надрывный кашель. [ep: a=Mild]

[Labels: v=None, sc=None, p=None, s=None, a=Mild]

1-4-А. ИНТ. КВАРТИРА БОКОВА.ВАННАЯ НОЧЬ 1. 
МАРИНА (00:12)

На раковине в ванной – яркое пятно крови. Молодая, очень худая женщина (МАР",0,0,0,1,0,None,None,None,Mild,None,0.0,0.0,0.0,0.33,0.0
